user_id,user_followers,likes,comments,id
1928167885,4006,165,20,2297191940713547187
50773017,50325,1297,51,2297154505090680678
32533437915,1377,94,9,2297112351697915096
33991086871,38,12,0,2297138865085240071
8119411683,227,22,1,2297137765875182605
374819982,5809,145,7,2297005767963858038
4120024815,5,0,0,2297119773427087818
34192588593,1,0,0,2297100243361950045
17888767,2738,368,11,2297043467710495144
3919738524,1232,147,0,2297031426334768443
13737045627,818,72,32,2297012999902083513
198088563,1430,173,0,2297005498362484117
4800833859,4284,94,11,2296996988163412160
2108934684,3376,0,0,2296986810911099316
3770106869,92,10,0,2296985419224872018
8119411683,227,26,1,2296965495777031857
31575279055,22,0,0,2296964571233079824
8882196860,6019,193,6,2296945373905062419
4817132796,112,0,0,2296934287528972806
1632720962,363,21,0,2296927341466863457
20316681624,60,4,0,2296924889612806306
5360243890,13487,268,8,2296923540061728314
1500203495,14095,131,1,2296893820263803901
27514293,78388,1098,54,2296884551849295063
403259518,1974,35,2,2296881797223920014
24269409601,467,6,0,2296884623328500778
10087733,530,10,2,2296883635001201002
3432929116,9819,22,1,2296881845584673059
12295748111,3068,261,87,2296872466684077843
1649094828,91932,811,13,2296867785647888102
8531926865,2184,195,30,2296865958902804845
1349782439,2288,94,2,2296847626370402622
8119411683,227,31,3,2296813584704811904
274575423,1579,11,0,2296809331278300304
2049924298,1501,80,29,2296807826588606466
8119411683,227,41,2,2296801866096259824
187371087,1868,76,6,2296763598558982582
800689182,46789,844,17,2296755722057948928
6885739217,19120,150,8,2296752483367045729
1563007513,471,22,4,2296743665498255067
21428761,13434,440,67,2296739122208846044
182879513,1740,199,39,2296731781715531710
33789380037,753,197,0,2296725660045912974
212246831,2344,100,42,2296714200596592743
1317667622,2302,51,5,2296712574396606392
4022817247,10974,571,7,2296703820815846041
364223650,53241,100,8,2296699777475425112
10514977004,125,19,3,2296698864198270088
7367572303,387,3,1,2296696757231215928
1346641092,11348,197,2,2296686298264367862
4871761785,404,15,1,2296681867805933564
6706978092,7612,458,130,2296671122652689875
8325230,13129,343,29,2296669878965100749
174332518,14479,621,85,2296668580853289796
814346191,21257,653,28,2291757981033295336
34597368584,9,1,0,2296661508811523730
937873198,2533,21,1,2296649658006987932
1258776089,862,73,1,2296649431214697033
50773017,50325,1547,85,2296644375399892444
5957205268,5909,278,133,2296640596106236728
5752189818,269,3,0,2296622215868105803
8660720635,17158,272,279,2296616179978843208
11104566030,4944,54,1,2296434440107185085
7123496662,9924,41,0,2296605705567776460
1814753423,16112,556,27,2296601903885461700
31946678846,419,39,6,2296585542969953605
3048448,1031,23,0,2296581043438691124
258105315,3924,83,24,2296578067260515648
7421021731,2531,62,40,2296555225047993007
11305053,2038,77,18,2296553053874922801
8768486438,5168,11,0,2296551197687187219
7046621307,129077,1036,240,2296549795899988947
178633930,874,29,4,2296536535270603213
263926448,285,9,1,2296527079063041216
1311626850,63628,371,82,2292582648734771517
9426592583,40,3,0,2296487077675415833
16169285018,519,123,19,2284974852326827080
34372538350,4,4,4,2296483055656012471
1924806870,29740,2220,0,2296480626315752333
27051097929,115,10,0,2296467953980151666
8119411683,227,27,0,2296462700724576104
4051263589,4025,26,1,2296442699187554480
8119411683,227,28,0,2296446076306878877
8119411683,227,35,6,2296435918407239114
18152796329,1658,12,3,2296419404945496370
190996679,10313,107,85,2296418829931568344
1952006465,1162,18,0,2296418269093028106
32780815398,105,14,0,2296416948852844806
31922492823,1631,46,1,2296414782427607805
8333616267,11288,98,0,2296413206067039707
18152796329,1658,13,0,2296398162431368530
190996679,10313,79,68,2296397661539281207
5786896155,110,6,2,2296389967676706664
18147450155,538,48,0,2296383247175393685
4720821294,64,17,0,2296370104189007087
6426328508,1554,73,27,2296350012794707735
306560435,719,87,6,2294021657646807441
5575080799,638,8,1,2296332206840525140
12821851023,519,136,23,2296325463918725659
25689815419,148,7,0,2296324006346895404
4189341340,4393,13,2,2296296470674869317
4189341340,4393,4,0,2296294563667468360
4189341340,4393,37,7,2296291358363606227
1764564645,1216,64,10,2296288094901978798
8157995769,272,10,0,2296214525358905892
7769844373,1827,7,0,2296208962368614107
409525490,15954,289,54,2296180393614747637
31499872976,130,14,0,2296178305495274859
8119411683,227,27,0,2296167968702199458
26661746,6496,150,9,2296161436172522723
31970619247,41,7,0,2296149525146638693
