user_id,user_followers,likes,comments,id
2379647862,302,11,1,2298142846656394658
19352255267,228,17,0,2298142793465787082
33209937753,63,2,3,2298142749742626780
5460958207,647,9,3,2298142692382379224
3573154803,502,13,3,2298142656723032680
18769460470,195,8,0,2298142641631941614
247663434,530,11,0,2298142597046644038
6913656923,3509,24,1,2298142575352942037
31223184835,505,9,3,2298142536136876533
32558221027,106,8,0,2298142503026647346
1539414471,691,6,0,2298142478372388851
3948126000,710,11,4,2298142456544226835
23933233631,262,5,0,2298142057851839794
3245929867,8259,124,5,2298142027191419526
45526732,1834,42,6,2298141084102279150
5510435504,68,74,1,2178459628632503950
8378237049,39125,1942,9,2293672711929788576
8378237049,39125,2059,14,2293518737285241420
33455358820,338,6,0,2298143711371428840
218854198,817,3,1,2298143641719708357
4111781326,2256,15,0,2298143523356919920
2101746227,542,5,0,2298143441172869795
8645433373,5,6,0,2298143336518645506
13210235815,1050,42,6,2298143294247817786
33509089519,1011,8,0,2298143212518697069
7408983067,73,7,0,2298143004622791925
496534051,1243,21,1,2298142917390553048
2973795203,6606,36,4,2298142830249156682
31271505774,62,4,9,2298142680269964336
27625683321,200,7,1,2298142626531902829
14188229227,304,17,0,2298142459747999258
4703056590,1058,13,1,2298142349557365454
8277745190,2820,16,2,2298141061503315085
33982169772,0,7,0,2298143013891605157
8801628651,91,6,1,2298120550710930569
12361771385,92,10,0,2298093519141997962
20970641778,217,76,4,2298086894818586511
25084342826,169,50,7,2297443834916604030
5365285481,171,6,0,2295989488105459307
30290076451,39,11,2,2298143772675844626
5906329397,3288,14,4,2298143491547979155
28001901161,472,5,1,2298143226141935524
34421480092,53,4,0,2298142827631907592
26078315693,5297,4,0,2298142662292051864
2538508349,1064,12,0,2298142191087595317
17673405832,1214,3,4,2298142183846471594
8511161880,359,13,0,2298141915135915650
34573740949,52,6,0,2298141844805962058
48388190,272,1,0,2298141779718289068
33503453597,57,7,1,2298141564005221702
5776982784,429,7,0,2298138398782974656
5688167262,250,2,0,2298141370185126110
9016468936,403,4,0,2298141031009284891
9016468936,403,3,0,2298138588649233942
34166235702,9,3,0,2298140860067337388
22913013121,28,5,0,2298140629363217898
3025048755,799,13,5,2298138510617855032
29111635107,524,6,0,2298140561114424489
33772006944,41,0,0,2298140239233662452
33772006944,41,1,0,2298138903431830787
33772006944,41,0,0,2298138534802673179
33772006944,41,2,0,2298138231168716511
8511189398,674,11,1,2297959280383696191
3455613231,222,12,0,2298139869876782800
983510899,545,7,2,2298139771864034945
